id,text,label,pos
,Active,O,NNP
,Directory,O,NNP
,Federated,O,NNP
,Services,O,NNPS
,servers,O,NNS
,.,O,.
Sentence: 18,ABK,B-software,NNP
,has,O,VBZ
,the,O,DT
,ability,O,NN
,to,O,TO
,use,O,VB
,HTTP,B-tool,NNP
,in,O,IN
,communications,O,NNS
,with,O,IN
,C2,B-device,NNP
,.,O,.
Sentence: 19,ABK,B-software,NNP
,has,O,VBZ
,the,O,DT
,ability,O,NN
,to,O,TO
,decrypt,O,VB
,AES,B-information,NNP
,encrypted,I-information,VBD
,payloads,I-information,NNS
,.,O,.
Sentence: 20,ABK,B-software,NNP
,has,O,VBZ
,the,O,DT
,ability,O,NN
,to,O,TO
,download,O,VB
,files,B-file,NNS
,from,O,IN
,C2,B-device,NNP
,.,O,.
Sentence: 21,ABK,B-software,NNP
,can,O,MD
,extract,O,VB
,a,B-tool,DT
,malicious,I-tool,JJ
,Portable,I-tool,NNP
,Executable,I-tool,NNP
,from,O,IN
,a,O,DT
,photo,O,NN
,.,O,.
Sentence: 22,ABK,B-software,NNP
,has,O,VBZ
,the,O,DT
,ability,O,NN
,to,O,TO
,identify,O,VB
,the,B-application,DT
,installed,I-application,JJ
,anti-virus,I-application,JJ
,product,I-application,NN
,on,O,IN
,the,B-device,DT
,compromised,I-device,VBN
,host,I-device,NN
,.,O,.
Sentence: 23,ACAD/Medre.A,B-software,NNP
,collects,O,VBZ
,information,B-information,NN
,related,O,VBN
,to,O,TO
,the,B-application,DT
,AutoCAD,I-application,NNP
,application,I-application,NN
,.,O,.
Sentence: 24,The,B-software,DT
,worm,I-software,NN
,collects,O,VBZ
,AutoCAD,B-file,NNP
,files,I-file,NNS
,with,O,IN
,drawings,O,NNS
,from,O,IN
,information,O,NN
,repositories,O,NNS
,.,O,.
Sentence: 25,Adbupd,B-software,NNP
,can,O,MD
,run,O,VB
,a,O,DT
,copy,O,NN
,of,O,IN
,cmd.exe,B-tool,NN
,.,O,.
Sentence: 26,Adbupd,B-software,NNP
,can,O,MD
,use,O,VB
,a,B-information,DT
,WMI,I-information,NNP
,script,I-information,NN
,to,O,TO
,achieve,O,VB
,persistence,O,NN
,.,O,.
Sentence: 27,AdFind,B-software,NNP
,can,O,MD
,enumerate,O,VB
,domain,B-application,NN
,users,I-application,NNS
,.,O,.
Sentence: 28,AdFind,B-software,NNP
,has,O,VBZ
,the,O,DT
,ability,O,NN
,to,O,TO
,query,O,VB
,Active,B-file,NNP
,Directory,I-file,NNP
,for,O,IN
,computers,B-device,NNS
,.,O,.
Sentence: 29,Adups,B-software,NNP
,transmitted,O,VBD
,location,B-information,NN
,information,I-information,NN
,.,O,.
Sentence: 30,Adups,B-software,NNP
,transmitted,O,VBD
,contact,O,JJ
,lists,O,NNS
,.,O,.
Sentence: 31,Adups,B-software,NNP
,transmitted,O,VBD
,the,O,DT
,full,O,JJ
,contents,O,NNS
,of,O,IN
,text,B-information,NN
,messages,I-information,NNS
,.,O,.
Sentence: 32,Adups,B-software,NNP
,was,O,VBD
,pre-installed,O,VBN
,on,O,IN
,Android,B-device,NNP
,devices,I-device,NNS
,from,O,IN
,some,O,DT
,vendors,O,NNS
,.,O,.
Sentence: 33,Data,B-information,NNP
,is,O,VBZ
,exchanged,O,VBN
,via,O,IN
,HTTP,B-tool,NNP
,POSTs,I-tool,NNP
,.,O,.
Sentence: 34,ADVSTORESHELL,B-software,NNP
,encrypts,O,VBZ
,with,O,IN
,the,B-tool,DT
,3DES,I-tool,CD
,algorithm,I-tool,NN
,and,O,CC
,a,B-file,DT
,hardcoded,I-file,JJ
,key,I-file,NN
,prior,O,RB
,to,O,TO
,exfiltration,O,NN
,.,O,.
Sentence: 35,C2,O,NNP
,traffic,O,NN
,from,O,IN
,ADVSTORESHELL,B-software,NNP
,is,O,VBZ
,encrypted,O,VBN
,",",O,","
,then,O,RB
,encoded,O,VBD
,with,O,IN
,Base64,B-tool,NNP
,encoding,I-tool,VBG
,.,O,.
Sentence: 36,A,O,DT
,variant,O,NN
,of,O,IN
,ADVSTORESHELL,B-software,NNP
,encrypts,O,CC
,some,O,DT
,C2,B-device,NNP
,with,O,IN
,RSA,B-tool,NNP
,.,O,.
Sentence: 37,ADVSTORESHELL,B-software,NNP
,exfiltrates,O,VBZ
,data,B-information,NNS
,over,O,IN
,the,O,DT
,same,O,JJ
,channel,O,NN
,used,O,VBN
,for,O,IN
,C2,B-device,NNP
,.,O,.
Sentence: 38,ADVSTORESHELL,B-software,NNP
,is,O,VBZ
,capable,O,JJ
,of,O,IN
,starting,O,VBG
,a,B-tool,DT
,process,I-tool,NN
,using,O,VBG
,CreateProcess,B-tool,NNP
,.,O,.
Sentence: 39,Most,O,JJS
,of,O,IN
,the,B-information,DT
,strings,I-information,NNS
,in,O,IN
,ADVSTORESHELL,B-software,NNP
,are,O,VBP
,encrypted,O,VBN
,with,O,IN
,an,B-tool,DT
,XOR-based,I-tool,JJ
,algorithm,I-tool,NN
,;,O,:
,some,B-information,DT
,strings,I-information,NNS
,are,O,VBP
,also,O,RB
,encrypted,O,VBN
,with,O,IN
,3DES,B-tool,CD
,and,O,CC
,reversed,B-tool,VBD
,.,O,.
Sentence: 40,ADVSTORESHELL,B-software,NNP
,can,O,MD
,list,O,VB
,connected,B-device,JJ
,devices,I-device,NNS
,.,O,.
Sentence: 41,ADVSTORESHELL,B-software,NNP
,can,O,MD
,list,O,VB
,running,B-tool,VBG
,processes,I-tool,NNS
,.,O,.
Sentence: 42,ADVSTORESHELL,B-software,NNP
,can,O,MD
,enumerate,O,VB
,registry,B-file,NN
,keys,I-file,NNS
,.,O,.
Sentence: 43,ADVSTORESHELL,B-software,NNP
,has,O,VBZ
,used,O,VBN
,rundll32.exe,B-tool,NN
,in,O,IN
,a,B-file,DT
,Registry,I-file,NNP
,value,I-file,NN
,to,O,TO
,establish,O,VB
,persistence,O,NN
,.,O,.
Sentence: 44,ADVSTORESHELL,B-software,NNP
,can,O,MD
,run,O,VB
,Systeminfo,B-tool,NNP
,to,O,TO
,gather,O,VB
,information,B-information,NN
,about,O,IN
,the,B-application,DT
,victim,I-application,NN
,.,O,.
Sentence: 45,Agent,B-software,NN
,Smith,I-software,NNP
,shows,O,VBZ
,fraudulent,O,JJ
,ads,O,NNS
,to,O,TO
,generate,O,VB
,revenue,O,NN
,.,O,.
Sentence: 46,Agent,B-software,NN
,Smith,I-software,NNP
,can,O,MD
,hide,O,VB
,its,O,PRP$
,icon,O,NN
,from,O,IN
,the,O,DT
,application,O,NN
,launcher,O,NN
,.,O,.
Sentence: 47,Agent,B-software,NNP
,Smith,I-software,NNP
,’s,O,NNP
,core,B-software,NN
,malware,I-software,NN
,is,O,VBZ
,disguised,O,VBN
,as,O,IN
,a,B-file,DT
,JPG,I-file,NNP
,file,I-file,NN
,",",O,","
,and,O,CC
,encrypted,O,VBD
,with,O,IN
,an,B-tool,DT
,XOR,I-tool,NN
,cipher,I-tool,NN
,.,O,.
Sentence: 48,Agent,B-software,NNP
,Smith,I-software,NNP
,checks,O,NNS
,if,O,IN
,a,B-application,DT
,targeted,I-application,JJ
,application,I-application,NN
,is,O,VBZ
,running,O,VBG
,in,O,IN
,user-space,O,JJ
,prior,O,JJ
,to,O,TO
,infection,O,NN
,.,O,.
Sentence: 49,Agent,B-software,NNP
,Tesla,I-software,NNP
,can,O,MD
,encrypt,O,VB
,data,B-information,NNS
,with,O,IN
,3DES,B-tool,CD
,before,O,IN
,sending,O,VBG
,it,O,PRP
,over,O,IN
,to,O,TO
,a,B-device,DT
,C2,I-device,NNP
,server,I-device,NN
,.,O,.
Sentence: 50,Agent,B-software,NNP
,Tesla,I-software,NNP
,can,O,MD
,steal,O,VB
,data,B-information,NNS
,from,O,IN
,the,B-application,DT
,victim,I-application,NN
,’s,O,NNP
,clipboard,B-device,NN
,.,O,.
Sentence: 51,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,the,O,DT
,ability,O,NN
,to,O,TO
,steal,O,VB
,credentials,B-information,NNS
,from,O,IN
,FTP,O,NNP
,clients,O,NNS
,and,O,CC
,wireless,B-file,JJ
,profiles,I-file,NNS
,.,O,.
Sentence: 52,Agent,B-software,NNP
,Tesla,I-software,NNP
,can,O,MD
,gather,O,VB
,credentials,B-information,NNS
,from,O,IN
,a,O,DT
,number,O,NN
,of,O,IN
,browsers,B-device,NNS
,.,O,.
Sentence: 53,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,used,O,VBN
,ProcessWindowStyle.Hidden,B-tool,NNP
,to,O,TO
,hide,O,VB
,windows,O,NNS
,.,O,.
Sentence: 54,Agent,B-software,NNP
,Tesla,I-software,NNP
,can,O,MD
,log,O,VB
,keystrokes,O,NNS
,on,O,IN
,the,B-application,DT
,victim,I-application,NN
,’s,O,NNP
,machine,B-device,NN
,.,O,.
Sentence: 55,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,used,O,VBN
,the,O,DT
,Rijndael,O,NNP
,symmetric,O,JJ
,encryption,O,NN
,algorithm,O,NN
,to,O,TO
,encrypt,O,VB
,strings,B-information,NNS
,.,O,.
Sentence: 56,The,O,DT
,primary,O,JJ
,delivered,O,VBD
,mechaism,O,NN
,for,O,IN
,Agent,B-software,NNP
,Tesla,I-software,NNP
,is,O,VBZ
,through,O,IN
,email,B-information,NN
,phishing,I-information,NN
,messages,I-information,NNS
,.,O,.
Sentence: 57,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,used,O,VBN
,process,O,NN
,hollowing,O,VBG
,to,O,TO
,create,O,VB
,and,O,CC
,manipulate,O,VB
,processes,B-tool,NNS
,through,O,IN
,sections,O,NNS
,of,O,IN
,unmapped,O,JJ
,memory,O,NN
,by,O,IN
,reallocating,O,VBG
,that,O,IN
,space,O,NN
,with,O,IN
,its,B-information,PRP$
,malicious,I-information,JJ
,code,I-information,NN
,.,O,.
Sentence: 58,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,achieved,O,VBN
,persistence,O,NN
,via,O,IN
,scheduled,B-tool,JJ
,tasks,I-tool,NNS
,.,O,.
Sentence: 59,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,dropped,O,VBN
,RegAsm.exe,B-tool,NNP
,onto,O,IN
,systems,B-application,NNS
,for,O,IN
,performing,O,VBG
,malicious,O,JJ
,activity,O,NN
,.,O,.
Sentence: 60,Agent,B-software,NNP
,Tesla,I-software,NNP
,can,O,MD
,collect,O,VB
,the,B-application,DT
,system,I-application,NN
,'s,O,POS
,computer,B-information,NN
,name,I-information,NN
,.,O,.
Sentence: 61,Agent,B-software,NNP
,Tesla,I-software,NNP
,can,O,MD
,collect,O,VB
,the,B-information,DT
,username,I-information,NN
,from,O,IN
,the,B-application,DT
,victim,I-application,NN
,’s,O,NNP
,machine,B-device,NN
,.,O,.
Sentence: 62,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,the,O,DT
,ability,O,NN
,to,O,TO
,extract,O,VB
,credentials,B-information,NNS
,from,O,IN
,the,B-file,DT
,Registry,I-file,NNP
,.,O,.
Sentence: 63,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,been,O,VBN
,executed,O,VBN
,through,O,IN
,malicious,B-file,JJ
,e-mail,I-file,JJ
,attachments,I-file,NNS
,.,O,.
Sentence: 64,Agent,B-software,NNP
,Tesla,I-software,NNP
,has,O,VBZ
,he,O,PRP
,ability,O,NN
,to,O,TO
,perform,O,VB
,anti-sandboxing,O,JJ
,and,O,CC
,anti-virtualization,O,JJ
,checks,O,NNS
,.,O,.
Sentence: 65,Agent.btz,B-software,NNP
,creates,O,VBZ
,a,B-file,DT
,file,I-file,NN
,named,O,VBN
,thumb.dd,O,NN
,on,O,IN
,all,O,DT
,USB,B-device,NNP
,flash,I-device,NN
,drives,I-device,NNS
,connected,O,VBN
,to,O,TO
,the,B-application,DT
,victim,I-application,NN
,.,O,.
Sentence: 66,Agent.btz,B-software,NNP
,collects,O,VBZ
,IP,O,NNP
,addresses,O,NNS
,of,O,IN
,the,B-device,DT
,network,I-device,NN
,adapter,I-device,NN
,’s,O,NN
,default,B-information,NN
,gateway,I-information,NN
,",",O,","
,primary/secondary,O,JJ
,WINS,O,NNP
,",",O,","
,DHCP,O,NNP
,",",O,","
,and,O,CC
,DNS,B-device,NNP
,servers,I-device,NNS
,",",O,","
,and,O,CC
,saves,O,VBZ
,them,O,PRP
,into,O,IN
,a,B-file,DT
,log,I-file,NN
,file,I-file,NN
,.,O,.
Sentence: 67,Anchor,B-software,NNP
,has,O,VBZ
,used,O,VBN
,HTTP,B-tool,NNP
,and,O,CC
,HTTPS,B-tool,NNP
,in,O,IN
,C2,O,NNP
,communications,O,NNS
,.,O,.
Sentence: 68,Variants,O,NNS
,of,O,IN
,Anchor,B-software,NNP
,can,O,MD
,use,O,VB
,DNS,O,NNP
,tunneling,O,VBG
,to,O,TO
,communicate,O,VB
,with,O,IN
,C2,B-device,NNP
,.,O,.
Sentence: 69,Anchor,B-software,NNP
,has,O,VBZ
,used,O,VBN
,cmd.exe,B-tool,NN
,to,O,TO
,run,O,VB
,its,O,PRP$
,self,O,NN
,deletion,O,NN
,routine,O,NN
,.,O,.
Sentence: 70,Anchor,B-software,NNP
,can,O,MD
,establish,O,VB
,persistence,O,NN
,by,O,IN
,creating,O,VBG
,a,B-tool,DT
,service,I-tool,NN
,.,O,.
Sentence: 71,Anchor,B-software,NNP
,can,O,MD
,terminate,O,VB
,itself,O,PRP
,if,O,IN
,specific,O,JJ
,execution,O,NN
,flags,O,NNS
,are,O,VBP
,not,O,RB
,present,O,JJ
,.,O,.
Sentence: 72,Anchor,B-software,NNP
,can,O,MD
,use,O,VB
,secondary,B-device,JJ
,C2,I-device,NNP
,servers,I-device,NNS
,for,O,IN
,communication,O,NN
,after,O,IN
,establishing,O,VBG
,connectivity,O,NN
,and,O,CC
,relaying,O,VBG
,victim,B-information,NN
,information,I-information,NN
,to,O,TO
,primary,B-device,VB
,C2,I-device,NNP
,servers,I-device,NNS
,.,O,.
Sentence: 73,Anchor,B-software,NNP
,has,O,VBZ
,used,O,VBN
,NTFS,B-tool,NNP
,to,O,TO
,hide,O,VB
,files,B-file,NNS
,.,O,.
Sentence: 74,Anchor,B-software,NNP
,can,O,MD
,self,O,VB
,delete,O,VB
,its,B-tool,PRP$
,dropper,I-tool,NN
,after,O,IN
,the,B-software,DT
,malware,I-software,NN
,is,O,VBZ
,successfully,O,RB
,deployed,O,VBN
,.,O,.
Sentence: 75,Anchor,B-software,NNP
,has,O,VBZ
,used,O,VBN
,ICMP,B-tool,NNP
,in,O,IN
,C2,O,NNP
,communications,O,NNS
,.,O,.
Sentence: 76,Anchor,B-software,NNP
,has,O,VBZ
,obfuscated,O,VBN
,code,B-information,NN
,with,O,IN
,stack,B-information,JJ
,strings,I-information,NNS
,and,O,CC
,string,O,VBG
,encryption,O,NN
,.,O,.
Sentence: 77,Anchor,B-software,NNP
,has,O,VBZ
,come,O,VBN
,with,O,IN
,a,B-information,DT
,packed,I-information,JJ
,payload,I-information,NN
,.,O,.
Sentence: 78,Anchor,B-software,NNP
,can,O,MD
,install,O,VB
,itself,O,PRP
,as,O,IN
,a,O,DT
,cron,O,NN
,job,O,NN
,.,O,.
Sentence: 79,Anchor,B-software,NN
,can,O,MD
,determine,O,VB
,the,O,DT
,hostname,O,NN
,and,O,CC
,linux,O,JJ
,version,O,NN
,on,O,IN
,a,B-device,DT
,compromised,I-device,JJ
,host,I-device,NN
,.,O,.
Sentence: 80,Android/AdDisplay.Ashas,B-software,NNP
,has,O,VBZ
,communicated,O,VBN
,with,O,IN
,the,B-device,DT
,C2,I-device,NNP
,server,I-device,NN
,using,O,VBG
,HTTP,B-tool,NNP
,.,O,.
Sentence: 81,Android/AdDisplay.Ashas,B-software,NNP
,has,O,VBZ
,registered,O,VBN
,to,O,TO
,receive,O,VB
,the,O,DT
,BOOT_COMPLETED,O,NNP
,broadcast,O,NN
,intent,O,NN
,to,O,TO
,activate,O,VB
,on,O,IN
,device,O,NN
,startup,O,NN
,.,O,.
Sentence: 82,Android/AdDisplay.Ashas,B-software,NNP
,can,O,MD
,collect,O,VB
,information,B-information,NN
,about,O,IN
,the,B-device,DT
,device,I-device,NN
,including,O,VBG
,device,O,NN
,root,O,NN
,",",O,","
,and,O,CC
,if,O,IN
,developer,O,JJ
,mode,O,NN
,is,O,VBZ
,enabled,O,VBN
,.,O,.
Sentence: 83,Android/AdDisplay.Ashas,B-software,NNP
,can,O,MD
,check,O,VB
,that,O,IN
,the,O,DT
,device,O,NN
,IP,O,NNP
,is,O,VBZ
,not,O,RB
,in,O,IN
,the,O,DT
,range,O,NN
,of,O,IN
,known,O,VBN
,Google,O,NNP
,IP,O,NNP
,addresses,O,VBZ
,before,O,IN
,triggering,O,VBG
,the,B-information,DT
,payload,I-information,NN
,.,O,.
Sentence: 84,Android/AdDisplay.Ashas,B-software,NNP
,can,O,MD
,delay,O,VB
,payload,O,JJ
,deployment,O,NN
,to,O,TO
,avoid,O,VB
,detection,O,NN
,during,O,IN
,testing,O,VBG
,and,O,CC
,avoid,O,JJ
,association,O,NN
,with,O,IN
,unwanted,O,JJ
,ads,O,NNS
,.,O,.
Sentence: 85,Android/Chuli.A,B-software,NNP
,used,O,VBD
,SMS,B-tool,NNP
,to,O,TO
,receive,O,VB
,command,B-information,NN
,and,O,CC
,control,B-information,NN
,messages,I-information,NNS
,.,O,.
Sentence: 86,Android/Chuli.A,B-software,NNP
,stole,O,VBD
,call,O,JJ
,logs,O,NNS
,.,O,.
Sentence: 87,Android/Chuli.A,B-software,NNP
,stole,O,JJ
,SMS,O,NNP
,message,O,NN
,content,O,NN
,.,O,.
Sentence: 88,Android/Chuli.A,B-software,NNP
,gathered,O,VBD
,system,B-information,NN
,information,I-information,NN
,including,O,VBG
,phone,O,NN
,number,O,NN
,",",O,","
,OS,O,NNP
,version,O,NN
,",",O,","
,phone,O,NN
,model,O,NN
,",",O,","
,and,O,CC
,SDK,O,NNP
,version,O,NN
,.,O,.
Sentence: 89,AndroidOS/MalLocker.B,B-software,NNP
,has,O,VBZ
,registered,O,VBN
,to,O,TO
,receive,O,VB
,14,O,CD
,different,O,JJ
,broadcast,O,NN
,intents,O,NNS
,for,O,IN
,automatically,O,RB
,triggering,O,VBG
,malware,B-information,NN
,payloads,I-information,NNS
,.,O,.
Sentence: 90,AndroidOS/MalLocker.B,B-software,NNP
,can,O,MD
,prevent,O,VB
,the,B-application,DT
,user,I-application,NN
,from,O,IN
,interacting,O,VBG
,with,O,IN
,the,B-device,DT
,UI,I-device,NNP
,by,O,IN
,using,O,VBG
,a,O,DT
,carefully,O,RB
,crafted,O,VBN
,"""call""",O,JJ
,notification,O,NN
,screen,O,NN
,.,O,.
Sentence: 91,This,O,DT
,is,O,VBZ
,coupled,O,VBN
,with,O,IN
,overriding,O,VBG
,the,B-tool,DT
,onUserLeaveHint(),I-tool,JJ
,callback,I-tool,NN
,method,I-tool,NN
,to,O,TO
,spawn,O,VB
,a,O,DT
,new,O,JJ
,notification,O,NN
,instance,O,NN
,when,O,WRB
,the,O,DT
,current,O,JJ
,one,O,NN
,is,O,VBZ
,dismissed,O,VBN
,.,O,.
Sentence: 92,AndroidOS/MalLocker.B,B-software,NNP
,has,O,VBZ
,stored,O,VBN
,encrypted,B-information,VBN
,payload,I-information,NN
,code,I-information,NN
,in,O,IN
,the,B-file,DT
,Assets,I-file,NNPS
,directory,I-file,NN
,",",O,","
,coupled,O,VBN
,with,O,IN
,a,O,DT
,custom,O,NN
,decryption,O,NN
,routine,O,NN
,that,O,WDT
,assembles,O,VBZ
,a,B-file,DT
,.dex,I-file,NN
,file,I-file,NN
,by,O,IN
,passing,O,VBG
,data,B-information,NNS
,through,O,IN
,Android,O,NNP
,Intent,O,NNP
,objects,O,NNS
,.,O,.
Sentence: 93,ANDROIDOS_ANSERVER.A,B-software,NNP
,gathers,O,VBZ
,the,B-information,DT
,device,I-information,NN
,IMEI,I-information,NNP
,and,O,CC
,IMSI,B-information,NNP
,.,O,.
Sentence: 94,ANDROIDOS_ANSERVER.A,B-software,NNP
,uses,O,VBZ
,encrypted,O,VBN
,content,O,NN
,within,O,IN
,a,O,DT
,blog,O,NN
,site,O,NN
,for,O,IN
,part,O,NN
,of,O,IN
,its,O,PRP$
,command,O,NN
,and,O,CC
,control,O,NN
,.,O,.
Sentence: 95,Specifically,O,RB
,",",O,","
,the,O,DT
,encrypted,O,JJ
,content,O,NN
,contains,O,NNS
,URLs,B-application,NNP
,for,O,IN
,other,B-device,JJ
,servers,I-device,NNS
,to,O,TO
,be,O,VB
,used,O,VBN
,for,O,IN
,other,O,JJ
,aspects,O,NNS
,of,O,IN
,command,O,NN
,and,O,CC
,control,O,NN
,.,O,.
Sentence: 96,AndroRAT,B-software,NN
,tracks,O,VBZ
,the,O,DT
,device,O,NN
,location,O,NN
,.,O,.
Sentence: 97,AndroRAT,B-software,NNP
,collects,O,VBZ
,call,B-information,JJ
,logs,I-information,NNS
,.,O,.
Sentence: 98,AndroRAT,B-software,NNP
,captures,O,VBZ
,SMS,B-information,NNP
,messages,I-information,NNS
,.,O,.
Sentence: 99,Anubis,B-software,NNP
,exfiltrates,O,VBZ
,data,B-information,NNS
,encrypted,O,VBN
,by,O,IN
,its,B-tool,PRP$
,ransomware,I-tool,NN
,module,I-tool,NN
,.,O,.
Sentence: 100,Anubis,B-software,NNP
,can,O,MD
,record,O,VB
,phone,O,NN
,calls,O,NNS
,and,O,CC
,audio,O,NN
,.,O,.
Sentence: 101,Anubis,B-software,NNP
,can,O,MD
,use,O,VB
,its,B-tool,PRP$
,ransomware,I-tool,NN
,module,I-tool,NN
,to,O,TO
,encrypt,O,VB
,device,B-information,NN
,data,I-information,NNS
,and,O,CC
,hold,O,VB
,it,O,PRP
,for,O,IN
,ransom,O,NN
,.,O,.
Sentence: 102,Anubis,B-software,NNP
,can,O,MD
,exfiltrate,O,VB
,files,B-file,NNS
,encrypted,O,VBN
,with,O,IN
,the,B-tool,DT
,ransomware,I-tool,NN
,module,I-tool,NN
,from,O,IN
,the,B-device,DT
,device,I-device,NN
,and,O,CC
,can,O,MD
,modify,O,VB
,external,O,JJ
,storage,O,NN
,.,O,.
Sentence: 103,Anubis,B-software,NNP
,can,O,MD
,download,O,VB
,attacker-specified,B-file,JJ
,APK,I-file,NNP
,files,I-file,NNS
,.,O,.
